"","Accn Number","Cat Num","Genus","Species","Began Date","Full Name","Country","County","State","Spec Locality","Habitat","Coll Method","Prepared By/First Name","Prepared By/Last Name","Collectors/First Name","Collectors/Last Name","Prepator #","Bursa","Skull Ossification","Sex","Fat Deposition","Reproduct Data","Molt","Wing Span","Weight","Weight Unit","Total Length","Wing Chord","Preparations [Aggregated]","Latitude1","Longitude1"
"1","1","22211","Catharus","guttatus","10/15/1949","United States, New York, Chemung County","United States","Chemung County","New York","8 miles Northeast of Horseheads",NA,NA,NA,NA,"Paul","Martin",NA,NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,"study skin",NA,NA
"2","1","13305","Catharus","guttatus","04/19/1942","United States, New York, Tompkins County","United States","Tompkins County","New York","Town of Ithaca",NA,NA,"Allan","Phillips","Allan","Phillips",NA,NA,NA,"sex unknown",NA,NA,NA,NA,NA,NA,NA,NA,"study skin","42.4381","-76.5095"
"3","1","13838","Catharus","guttatus","04/18/1925","United States, New York, Cayuga County","United States","Cayuga County","New York","Sennett",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,"study skin",NA,NA
"4","1","13839","Catharus","guttatus","05/07/1927","United States, New York, Cayuga County","United States","Cayuga County","New York","Sennett",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,"study skin",NA,NA
"5","1","21652","Catharus","guttatus","10/16/1948","United States, New York, Schuyler County","United States","Schuyler County","New York","Lower end of Cayuta Lake",NA,NA,"George","Grube","Charles","Robins",NA,NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,"study skin",NA,NA
"6","1","22715","Catharus","guttatus","12/27/1950","United States, Massachusetts, Essex County","United States","Essex County","Massachusetts","Gloucester, Eastern Point",NA,NA,"Robert","Dickerman","Robert","Dickerman",NA,NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,"study skin",NA,NA
"7","0","50482","Catharus","guttatus","11/14/2003","United States, New York, Nassau County","United States","Nassau County","New York","Baldwin, 606 Madison Avenue",NA,"salvage","Michael","Andersen","Michael","Andersen","MJA 043",NA,"15%","Male","very fat","testes","no molt","277.0","32.2000007629",NA,"152.0","87.0","tissue (frozen); spread wing; study skin","40.674788","-73.617376"
"8","0","50482","Catharus","guttatus","11/14/2003","United States, New York, Nassau County","United States","Nassau County","New York","Baldwin, 606 Madison Avenue",NA,"salvage","Michael","Andersen","Michael","Andersen","MJA 043",NA,"15%","Male","very fat","testes","no molt","277.0","32.2000007629",NA,"152.0","87.0","tissue (frozen); spread wing; study skin","40.674788","-73.617376"
"9","0","50482","Catharus","guttatus","11/14/2003","United States, New York, Nassau County","United States","Nassau County","New York","Baldwin, 606 Madison Avenue",NA,"salvage","Michael","Andersen","Michael","Andersen","MJA 043",NA,"15%","Male","very fat","testes","no molt","277.0","32.2000007629",NA,"152.0","87.0","tissue (frozen); spread wing; study skin","40.674788","-73.617376"
"10","0","52618","Catharus","guttatus","06/26/2008","United States, New York, Franklin County","United States","Franklin County","New York","Santa Clara Township, Blue Mountain Road, 15.6 km WNW Paul Smiths",NA,"mist net","Michael","Harvey","Michael","Harvey","MGH 047",NA,"5%","Male","little",NA,"little",NA,"27.3999996185",NA,NA,"92.0","tissue (95% ethanol); spread wing; study skin","44.4992333","-74.4284333"
