lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
83120,,F,NA,AD,SS,,,20,"KYONGO, J N AND J ITHIA",16-Jul-72,Ploceidae,Ploceus melanogaster,Ploceus,stephanophorus,KENYA WESTERN PROV KAKAMEGA DIST NA KAKAMEGA FOREST,WESTERN PROV,KAKAMEGA DIST,,0.27,34.88,7/16/1972,1972,7,study skin,NA,Kakamega Dist,Kakamega Dist
51344,11759,M,NA,,SS,,,NA,"PARTRIDGE, W H",12-May-59,Tyrannidae,Tolmomyias sulphurescens,Tolmomyias,sulphurescens,ARGENTINA MISIONES PROV  NA ARROYO URUGUA-I,MISIONES PROV,,,-25.9,-54.6,5/12/1959,1959,5,study skin,NA,,
66391,1848,F,NA,,SS,,,NA,"NORTHERN, J R",23-Jun-67,Parulidae,Dendroica nigrescens,Dendroica,nigrescens,UNITED STATES CALIFORNIA INYO CO NA COTTONWOOD CK PUB CAMP GRND,CALIFORNIA,INYO CO,,36.4666667,-118.1166667,6/23/1967,1967,6,study skin,CA,Inyo Co,Inyo County
111657,7,M,NA,,SS,,,NA,"WEHTJE, W",5-Jun-00,Icteridae,Quiscalus mexicanus,Quiscalus,ssp,UNITED STATES ARIZONA SANTA CRUZ CO NA PENA BLANCA LAKE,ARIZONA,SANTA CRUZ CO,,31.403783,-111.08668,6/5/2000,2000,6,study skin,AZ,Santa Cruz Co,Santa Cruz County
115692,05-0061,U,NA,,SS,,,16,IBRRC,21-Mar-05,Scolopacidae,Calidris mauri,Calidris,,UNITED STATES CALIFORNIA LOS ANGELES CO NA VENICE BEACH,CALIFORNIA,LOS ANGELES CO,,NA,NA,3/21/2005,2005,3,study skin,CA,Los Angeles Co,Los Angeles County
78736,,U,NA,,SS,,,NA,,29-Feb-60,Emberizidae,Pipilo crissalis,Pipilo,crissalis,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,33.9651,-118.1549,2/29/1960,1960,2,study skin,CA,Los Angeles Co,Los Angeles County
54536,,F,NA,AD,SS,,,95,"WILLIAMS, J G",6-May-62,Phasianidae,Coturnix delegorguei,Coturnix,delegorguei,KENYA RIFT VALLEY PROV NAKURU DIST NA LAKE NAIVASHA,RIFT VALLEY PROV,NAKURU DIST,6000 F,-0.77,36.35,5/6/1962,1962,5,study skin,NA,Nakuru Dist,Nakuru Dist
91863,PMG726,U,NA,,AL,,,NA,"KEMPER, C A",29-Sep-80,Parulidae,Parula americana,Parula,,UNITED STATES WISCONSIN EAU CLAIRE CO NA EAU CLAIRE,WISCONSIN,EAU CLAIRE CO,,44.8098524,-91.4907073,9/29/1980,1980,9,entire specimen preserved in alcohol,WI,Eau Claire Co,Eau Claire County
39316,,F,NA,,SS,,,NA,"OLALLA, A M",23-Aug-57,Emberizidae,Saltator maximus,Saltator,maximus,BRAZIL PARA  NA URUCURITUBA,PARA,,,-3.5,-55.5,8/23/1957,1957,8,study skin,NA,,
19992,,F,NA,,SS,,,NA,"VON BLOEKER, J C JR",16-Mar-41,Fringillidae,Carpodacus mexicanus,Carpodacus,frontalis,UNITED STATES CALIFORNIA VENTURA CO NA ANACAPA IS,CALIFORNIA,VENTURA CO,,34,-119.416667,3/16/1941,1941,3,study skin,CA,Ventura Co,Ventura County
26223,,M,NA,AD,SS,,TE,NA,"WILLIAMS, J G",5-Dec-54,Charadriidae,Charadrius pecuarius,Charadrius,pecuarius,KENYA RIFT VALLEY PROV NAKURU DIST NA LAKE NAIVASHA,RIFT VALLEY PROV,NAKURU DIST,6000 F,-0.77,36.35,12/5/1954,1954,12,study skin,NA,Nakuru Dist,Nakuru Dist
88492,20947,M,NA,AD,SS,,TSE,27.5,"STAGER, K E",2-Oct-73,Pycnonotidae,Phyllastrephus fischeri,Phyllastrephus,placidus,"KENYA EASTERN PROV MARSABIT DIST NA MT KULAL, N",EASTERN PROV,MARSABIT DIST,6500 F,2.72,36.93,10/2/1973,1973,10,study skin,NA,Marsabit Dist,Marsabit Dist
14450,,M,NA,,SS,,,NA,"SMITH, AUSTIN",5-Dec-27,Psittacidae,Pionopsitta haematotis,Pionopsitta,haematotis,COSTA RICA LIMON PROV  NA HCDA LA IBERIA,LIMON PROV,,1000 F,10.08,-83.65,12/5/1927,1927,12,study skin,NA,,
52419,,M,NA,,SS,,,NA,"PARTRIDGE, W H",16-Nov-59,Troglodytidae,Troglodytes aedon,Troglodytes,musculus,ARGENTINA MISIONES PROV  NA ARROYO URUGUA-I,MISIONES PROV,,,-25.9,-54.6,11/16/1959,1959,11,study skin,NA,,
96719,13816,M,NA,,SS,,,NA,"PARTRIDGE, W H",27-Jun-59,Formicariidae,Thamnophilus caerulescens,Thamnophilus,caerulescens,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,6/27/1959,1959,6,study skin,NA,,
87694,,M,NA,,SN,,,NA,"CANTWELL, G G",19-Apr-30,Corvidae,Corvus corax,Corvus,sinuatus,UNITED STATES CALIFORNIA KERN CO NA MT PINOS,CALIFORNIA,KERN CO,,34.8,-119.15,4/19/1930,1930,4,complete skeleton,CA,Kern Co,Kern County
24260,283,M,NA,,SS,,,NA,"DEL TORO, M A",6-Dec-50,Picidae,Melanerpes aurifrons,Melanerpes,polygrammus,MEXICO CHIAPAS  NA ARRIAGA,CHIAPAS,,,16.1441578,-94.0685281,12/6/1950,1950,12,study skin,NA,,
