gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
997418793	e635240a-3cb1-4d26-ab87-57d8c7afdfdb	f7b18499-7b47-11e4-8ef3-782bcb9cd5b5	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Lodi; Lodi Energy Center	California	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862									2010-11-09	9	11	2010	2497921	2497921	PRESERVED_SPECIMEN	KU	KUO	123018				CC_BY_4_0					2024-03-05T01:27:25.225Z		RECORDED_DATE_INVALID;INSTITUTION_COLLECTION_MISMATCH
991957982	96653d3e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		DE	Ihlow-Ochtelbur		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862									2010-07-11	11	7	2010	2497921	2497921	PRESERVED_SPECIMEN	SMF	Collection Aves (bird skeletons)	18089				CC_BY_4_0					2024-03-02T10:53:34.388Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
95886446	b929f23d-290f-4e85-8f17-764c55b3b284	afc5491c-517e-41fc-bbc1-defd16ace522	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Kailua (vicinity of), on H3 freeway just outside front gate to MCBH, across from the Kailua off-ramp	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	21.4326	-157.76											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184376	Collector Number: --	E R Bjerre		CC0_1_0	Bernice Pauahi Bishop Museum	E R Bjerre			2024-01-25T13:08:19.377Z		CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95885033	b929f23d-290f-4e85-8f17-764c55b3b284	c99729b1-7775-4d98-9f57-d026781281a9	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Hawaii Volcanoes National Park, Ainahou Ranch	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	19.3429	-155.225											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184829	Collector Number: --	C H Kishinami		CC0_1_0	Bernice Pauahi Bishop Museum	R Imdieke			2024-01-25T13:08:18.600Z		CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884380	b929f23d-290f-4e85-8f17-764c55b3b284	29120ef7-f127-4e00-a69e-e638d01689b9	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Lehua Island	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	22.03	-160.1											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184003	Collector Number: --	R L Pyle		CC0_1_0	Bernice Pauahi Bishop Museum	S L Montgomery			2024-01-25T13:08:14.073Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884377	b929f23d-290f-4e85-8f17-764c55b3b284	1f88a7e7-41a8-41a4-afec-3ea11bfe5791	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Auwahi ahupuaa, Mahoe exclosure	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	20.642	-156.324											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184119	Collector Number: --	C Mostello		CC0_1_0	Bernice Pauahi Bishop Museum	R Gassmann-Duvall			2024-01-25T13:08:14.747Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884375	b929f23d-290f-4e85-8f17-764c55b3b284	8114cc41-4f30-4a24-9838-8dd516c85c15	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	fields E of Moomomi	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	21.2	-157.14											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184124	Collector Number: --	C Mostello		CC0_1_0	Bernice Pauahi Bishop Museum	C Mostello & B Wetherbee			2024-01-25T13:08:18.046Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884373	b929f23d-290f-4e85-8f17-764c55b3b284	fffb8371-c994-4fbb-8d2e-f5403b4ae9b4	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Molokai Ranch Wildlife Conservation Park	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	21.17	-157.23											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184123	Collector Number: --	C Mostello		CC0_1_0	Bernice Pauahi Bishop Museum	C Mostello & D Dudoit			2024-01-25T13:08:28.912Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884370	b929f23d-290f-4e85-8f17-764c55b3b284	0d4aa6a0-39cd-4bf5-9763-fef313942cee	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Kaneohe	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	21.42	-157.8											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184122	Collector Number: --	C Mostello		CC0_1_0	Bernice Pauahi Bishop Museum	C Mostello & B Wetherbee			2024-01-25T13:08:22.402Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95884368	b929f23d-290f-4e85-8f17-764c55b3b284	9a7c742f-8e43-46bc-901c-04ca3d359519	Animalia	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		SPECIES	Tyto alba (Scopoli, 1769)	Tyto alba		US	Mauna Kea, Hakalau National Wildlife Refuge, middle Honohina [Gulch], 500 acre tract, transect 10	Hawaii	PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	19.847	-155.313											2497921	2497921	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184121	Collector Number: --	C Mostello		CC0_1_0	Bernice Pauahi Bishop Museum	C Mostello			2024-01-25T13:08:18.496Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
