"","X.2","catalog","genus","species","sex","date","country","county","state","loc","tl","ws","wc","ossif","wt","description","skin","skeleton","tissue","wing","ethanol","year","month","decade","collection","order","family","locality","Sex","X.1","X","lacm","field","laf","age","specnat","measure","gonads","coll","datecoll","spp","ele","lat","lng","Description","abv","cty","cty2","nat","mount","name"
"1",10,8461,"Eremophila","Eremophila alpestris","M","1940-03-02","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,51.9000015259,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8461"
"2",11,8462,"Eremophila","Eremophila alpestris","F","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,39.7999992371,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8462"
"3",12,8463,"Eremophila","Eremophila alpestris","M","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,52,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8463"
"4",13,8464,"Eremophila","Eremophila alpestris","M","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,45.2000007629,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8464"
"5",17,8468,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",188,335,114,NA,48,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8468"
"6",18,8469,"Eremophila","Eremophila alpestris","M","1937-02-28","United States","Tompkins County","New York","4 mi. SE of Ithaca",NA,NA,NA,NA,50.7999992371,"study skin","skin_study",NA,NA,NA,NA,1937,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County 4 mi. SE of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8469"
"7",20,8471,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,109.5,NA,49,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8471"
"8",21,8472,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,113,NA,46,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8472"
"9",23,8474,"Eremophila","Eremophila alpestris","F","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,99,NA,44.4000015259,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8474"
"10",24,8475,"Eremophila","Eremophila alpestris","M","1940-03-08","United States","Tompkins County","New York","Town of Ithaca",NA,NA,110,NA,46.2999992371,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8475"
