lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
122131,,U,9382,Juvenile,SS,,,18.5,NHM STAFF,12-May-20,Fringillidae,Carpodacus mexicanus,Carpodacus,frontalis,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,NA,NA,5/12/2020,2020,5,study skin,CA,Los Angeles Co,Los Angeles County
73197,,M,NA,,SS,,,NA,"MARINKELLE, C J",10-Jun-63,Bucconidae,Nonnula ruficapilla,Nonnula,pallescens,COLOMBIA BOLIVAR  NA TOLUVIEJO VIC,BOLIVAR,,0.0 M,9.45,-75.43,6/10/1963,1963,6,study skin,NA,,
25659,76,M,NA,,SS,,,NA,"BARROS V, R",20-Aug-54,Muscicapidae,Turdus falcklandii,Turdus,magellanicus,CHILE SANTIAGO PROV SANTIAGO DEPT NA ,SANTIAGO PROV,SANTIAGO DEPT,,NA,NA,8/20/1954,1954,8,study skin,NA,Santiago Dept,Santiago Dept
26607,,M,NA,Adult,SS,,TE,NA,"WILLIAMS, J G",29-Oct-45,Nectariniidae,Nectarinia superba,Nectarinia,buvuma,UGANDA BUKEDI DIST  NA BUSIA,BUKEDI DIST,,,0.47,34.08,10/29/1945,1945,10,study skin,NA,,
102839,RS77,M,NA,,FB,C:38.3; W:295.0; T:47.4; TAIL:116.0,T = 5 X 3,NA,"SPEAR, L",26-May-84,Procellariidae,Pterodroma rostrata,Pterodroma,rostrata,   NA ,,,,0,-150,5/26/1984,1984,5,flat skin and complete skeleton,NA,,
30478,26994,F,NA,,SS,,,NA,"CARRIKER, M A JR",23-Oct-57,Trochilidae,Aglaeactis cupripennis,Aglaeactis,cupripennis,COLOMBIA CAUCA  NA EL CRUCERO,CAUCA,,3270 M,2.38,-76.65,10/23/1957,1957,10,study skin,NA,,
10701,5651,M,NA,,SS,,,NA,"DAGGETT, F S",15-Aug-11,Vireonidae,Vireo gilvus,Vireo,swainsonii,UNITED STATES IDAHO CANYON CO NA NAMPA,IDAHO,CANYON CO,,43.5406837,-116.5634613,8/15/1911,1911,8,study skin,ID,Canyon Co,Canyon County
111252,1474,U,NA,,SN,C=69.8; W=402; T=49.2; TAIL=149 (WORN); HEAD TO BILL TIP=136MM,NOT FOUND,NA,"MOLINA, K C",00 XXX 2000,Laridae,Sterna caspia,Sterna,,UNITED STATES CALIFORNIA  NA SALTON SEA,CALIFORNIA,,,NA,NA,NA,NA,NA,complete skeleton,CA,,
39882,3029,F,NA,,SS,,,NA,"ARVEY, M DALE",20-Jan-60,Emberizidae,Sporophila intermedia,Sporophila,agustini,COLOMBIA CUNDINAMARCA  NA SANTANDERCITO,CUNDINAMARCA,,,4.6,-74.35,1/20/1960,1960,1,study skin,NA,,
51953,780,M,NA,,SS,,,NA,"HEMBREE, D V",15-Apr-33,Emberizidae,Piranga olivacea,Piranga,,UNITED STATES GEORGIA FULTON CO NA ROSWELL,GEORGIA,FULTON CO,,34.023201,-84.3616257,4/15/1933,1933,4,study skin,GA,Fulton Co,Fulton County
39397,2995,M,NA,,SS,,,NA,"ARVEY, M DALE",21-Dec-59,Accipitridae,Buteogallus meridionalis,Buteogallus,,COLOMBIA CUNDINAMARCA  NA PALANQUERO,CUNDINAMARCA,,,5.48,-74.67,12/21/1959,1959,12,study skin,NA,,
7737,5959,U,NA,,SS,,,NA,"DAGGETT, F S",8-Dec-15,Icteridae,Sturnella neglecta,Sturnella,,UNITED STATES CALIFORNIA LOS ANGELES CO NA PLAYA DEL REY,CALIFORNIA,LOS ANGELES CO,,33.9593544,-118.4330292,12/8/1915,1915,12,study skin,CA,Los Angeles Co,Los Angeles County
67349,B55,M,NA,Adult,SS,,TE,34,"WILLIAMS, A E AND R M GLEN",15-Jun-67,Muscicapidae,Stizorhina fraseri,Stizorhina,vulpina,UGANDA TORO KINGDOM BWAMBA CO NA BWAMBA FOREST,TORO KINGDOM,BWAMBA CO,2300 F,0.8,30.15,6/15/1967,1967,6,study skin,NA,Bwamba Co,Bwamba County
7949,793,M,NA,,SS,,,NA,"DAGGETT, F S",28 MAR 1894,Icteridae,Quiscalus quiscula,Quiscalus,quiscula,UNITED STATES FLORIDA ORANGE CO NA ORLANDO,FLORIDA,ORANGE CO,,28.548481,-81.3649902,1894-03-28,1894,3,study skin,FL,Orange Co,Orange County
115840,,U,NA,,SN,W=201; TAIL=162,NOT FOUND,160,EATON CANYON NATURE CENTER,16-Dec-06,Accipitridae,Accipiter striatus,Accipiter,velox,UNITED STATES CALIFORNIA LOS ANGELES CO NA SAN MARINO,CALIFORNIA,LOS ANGELES CO,,NA,NA,12/16/2006,2006,12,complete skeleton,CA,Los Angeles Co,Los Angeles County
50328,312,F,NA,,SS,,,NA,"ASHCRAFT, G P",4-Apr-39,Picidae,Celeus loricatus,Celeus,mentalis,PANAMA SAN BLAS  NA CALEDONIA BAY,SAN BLAS,,,8.92,-77.7,4/4/1939,1939,4,study skin,NA,,
13921,872,F,NA,,SS,,,NA,"RICHARDSON, C H",21-Dec-05,Scolopacidae,Calidris minutilla,Calidris,,UNITED STATES CALIFORNIA LOS ANGELES CO NA ALAMITOS BAY,CALIFORNIA,LOS ANGELES CO,,33.7166,-118.1166,12/21/1905,1905,12,study skin,CA,Los Angeles Co,Los Angeles County
53739,16323,M,NA,,SS,,,NA,"PARTRIDGE, W H",21-Jul-59,Emberizidae,Trichothraupis melanops,Trichothraupis,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,7/21/1959,1959,7,study skin,NA,,
7328,DC2520,M,NA,,SS,,,NA,,23 SEP 1896,Corvidae,Cyanocitta stelleri,Cyanocitta,frontalis,UNITED STATES CALIFORNIA LOS ANGELES CO NA MILLARD CANYON,CALIFORNIA,LOS ANGELES CO,,34.2166667,-118.1333333,1896-09-23,1896,9,study skin,CA,Los Angeles Co,Los Angeles County
56499,,M,NA,Adult,SS,,TSE,14,"WILLIAMS, J G",10-Jun-62,Ploceidae,Quelea cardinalis,Quelea,cardinalis,KENYA WESTERN PROV BUNGOMA DIST NA BUNGOMA,WESTERN PROV,BUNGOMA DIST,5000 F,0.57,34.57,6/10/1962,1962,6,study skin,NA,Bungoma Dist,Bungoma Dist
43017,,M,NA,,SS,,,NA,"DENTE, E",16-Jun-60,Formicariidae,Cercomacra tyrannina,Cercomacra,laeta,BRAZIL PARA  NA BELEM-BRASILIA RD,PARA,,,NA,NA,6/16/1960,1960,6,study skin,NA,,
10018,DC6488,M,NA,,SS,,,NA,"KIMBALL, H",6-Jan-08,Emberizidae,Pipilo chlorurus,Pipilo,,UNITED STATES ARIZONA PIMA CO NA FORT LOWELL,ARIZONA,PIMA CO,2530 F,32.2600746,-110.8739395,1/6/1908,1908,1,study skin,AZ,Pima Co,Pima County
23604,1933,M,NA,Adult,SS,,,NA,"WEBER, J A",19-Apr-13,Emberizidae,Melospiza georgiana,Melospiza,georgiana,UNITED STATES NEW JERSEY BERGEN CO NA FORT LEE,NEW JERSEY,BERGEN CO,,40.82,-73.97,4/19/1913,1913,4,study skin,NJ,Bergen Co,Bergen County
12496,4652,M,NA,,SS,,,NA,"DAGGETT, F S",5-Sep-03,Aegithalidae,Psaltriparus minimus,Psaltriparus,minimus,UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA,CALIFORNIA,LOS ANGELES CO,,34.1444969,-118.1300507,9/5/1903,1903,9,study skin,CA,Los Angeles Co,Los Angeles County
95260,19621,M,NA,,SS,,,NA,"PARTRIDGE, W H",24-Aug-59,Muscicapidae,Turdus albicollis,Turdus,paraguayensis,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,8/24/1959,1959,8,study skin,NA,,
32434,15787,M,NA,,SS,,,NA,"BERLA, H F",27-Apr-56,Trochilidae,Phaethornis pretrei,Phaethornis,,BRAZIL GOIAS  NA SAO JOAO DA ALIANCA,GOIAS,,,-14.67,-47.58,4/27/1956,1956,4,study skin,NA,,
41197,311,U,NA,,SS,,,19,"LAND, H C",8-Oct-58,Furnariidae,Synallaxis erythrothorax,Synallaxis,erythrothorax,GUATEMALA ALTA VERAPAZ PANZOS NA PANZOS,ALTA VERAPAZ,PANZOS,400 F,15.4,-89.67,10/8/1958,1958,10,study skin,NA,Panzos,Panzos
31077,26099,M,NA,,SS,,,NA,"CARRIKER, M A JR",20-Jun-57,Tyrannidae,Myiophobus flavicans,Myiophobus,flavicans,COLOMBIA NARINO  NA RICAURTE,NARINO,,1500 M,1.22,-77.98,6/20/1957,1957,6,study skin,NA,,
